name, movie, percent of dialogue, percent of fanworks (literal), percent of fanworks (including sub tags), age, gender,  year, script ID, imdb ID, movie words, gross, AO3 works in closest fandom (literal), AO3 works in closest fandom (including fandom subtags), AO3 closest fandom,title similarity
terry,American Graffiti,0.162446830059,-1,-1,20,m,1973,666,tt0069704,9874,565,-1,0,,0
wendy,American Graffiti,0.0180271419891,-1,-1,None,f,1973,666,tt0069704,9874,565,-1,0,,0
chess player,An American Werewolf in London,0.0349905003167,-1,-1,47,m,1981,674,tt0082010,6316,None,-1,0,,0
david kessler,An American Werewolf in London,0.363362887904,-1,-1,30,m,1981,674,tt0082010,6316,None,-1,0,,0
dr. j. s. hirsc,An American Werewolf in London,0.183818872704,-1,-1,52,m,1981,674,tt0082010,6316,None,-1,0,,0
inspector villi,An American Werewolf in London,0.0348321722609,-1,-1,52,m,1981,674,tt0082010,6316,None,-1,0,,0
jack goodman,An American Werewolf in London,0.156111462951,-1,-1,26,m,1981,674,tt0082010,6316,None,-1,0,,0
mr. collins,An American Werewolf in London,0.0213742875237,-1,-1,37,m,1981,674,tt0082010,6316,None,-1,0,,0
nurse alex pric,An American Werewolf in London,0.162127929069,-1,-1,29,f,1981,674,tt0082010,6316,None,-1,0,,0
nurse susan gal,An American Werewolf in London,0.0199493350222,-1,-1,None,f,1981,674,tt0082010,6316,None,-1,0,,0
woman in zoo,An American Werewolf in London,0.0234325522483,-1,-1,59,f,1981,674,tt0082010,6316,None,-1,0,,0
anastasia,Anastasia,0.232382061736,0.296296296296,0.296296296296,36,f,1997,676,tt0118617,5151,110,32,32,Anastasia (1997),0.5625
bartok,Anastasia,0.130654241895,0.0185185185185,0.0185185185185,33,m,1997,676,tt0118617,5151,110,2,2,Anastasia (1997),0.5625
dimitri,Anastasia,0.183265385362,0.305555555556,0.305555555556,None,m,1997,676,tt0118617,5151,110,33,33,Anastasia (1997),0.5625
phlegmenkoff,Anastasia,0.0203843913803,-1,-1,50,f,1997,676,tt0118617,5151,110,0,0,,0
rasputin,Anastasia,0.144243836148,-1,-1,59,m,1997,676,tt0118617,5151,110,0,0,,0
sophie,Anastasia,0.0469811687051,0.0493233082707,0.0493233082707,49,f,1997,676,tt0118617,5151,110,328,328,Rise of the Guardians (2012),0.0357142857143
tatiana,Anastasia,0.117258784702,-1,-1,None,f,1997,676,tt0118617,5151,110,0,0,,0
vladimir,Anastasia,0.124830130072,5.66307533306e-05,0.00106654585439,42,m,1997,676,tt0118617,5151,110,12,226,Marvel,0.111111111111
agent miller,Analyze That,0.0106681202305,-1,-1,37,m,2002,678,tt0289848,12842,48,-1,0,,0
anthony bella,Analyze That,0.0132378134247,-1,-1,43,m,2002,678,tt0289848,12842,48,-1,0,,0
ben sobel,Analyze That,0.38327363339,-1,-1,54,m,2002,678,tt0289848,12842,48,-1,0,,0
coyote,Analyze That,0.00817629652702,-1,-1,54,m,2002,678,tt0289848,12842,48,-1,0,,0
ducks,Analyze That,0.00802055754555,-1,-1,None,m,2002,678,tt0289848,12842,48,-1,0,,0
