name, movie, percent of dialogue, percent of fanworks, age, gender,  year, script ID, imdb ID, movie words, gross, AO3 works, AO3 fandom, title distance
mary d'annunzio,25th Hour,0.0252664824319,0.0,20,f,2002,630,tt0307901,10132,19,0,,1
monty brogan,25th Hour,0.339518357679,0.0,33,m,2002,630,tt0307901,10132,19,0,,1
naturelle rivie,25th Hour,0.0806356099487,0.0,23,f,2002,630,tt0307901,10132,19,0,,1
senka valghobek,25th Hour,0.0183576786419,0.0,41,m,2002,630,tt0307901,10132,19,0,,1
simon,25th Hour,0.0206277141729,0.183820415078,32,m,2002,630,tt0307901,10132,19,434,Vorkosigan Saga - Lois McMaster Bujold,0.003359462486
trey,25th Hour,0.011448874852,0.0196078431373,None,m,2002,630,tt0307901,10132,19,6,Vampire Academy Series - Richelle Mead,0.00223964165733
uncle nikolai,25th Hour,0.0610935649428,0.0,44,m,2002,630,tt0307901,10132,19,0,,1
clive park,A Serious Man,0.0302359065234,0.0,None,m,2009,633,tt1019452,9029,10,0,,1
danny gopnik,A Serious Man,0.0716579909182,0.0,15,m,2009,633,tt1019452,9029,10,0,,1
don,A Serious Man,0.0818473806623,0.606741573034,None,m,2009,633,tt1019452,9029,10,54,Singin' in the Rain (1952),0.00986193293886
gar,A Serious Man,0.0155055930889,0.000353356890459,None,m,2009,633,tt1019452,9029,10,1,The Yogscast,0.0246153846154
hebrew school t,A Serious Man,0.016170118507,0.0,None,m,2009,633,tt1019452,9029,10,0,,1
judith gopnik,A Serious Man,0.0251412116513,0.0,None,f,2009,633,tt1019452,9029,10,0,,1
larry gopnik,A Serious Man,0.561634732529,0.0,41,m,2009,633,tt1019452,9029,10,0,,1
mimi,A Serious Man,0.0242551777605,0.00154499806875,None,f,2009,633,tt1019452,9029,10,4,VIXX,0.0
mitch brandt,A Serious Man,0.034223059032,0.0,None,m,2009,633,tt1019452,9029,10,0,,1
reb groshkover,A Serious Man,0.0122937202348,0.0,None,m,2009,633,tt1019452,9029,10,0,,1
sarah,A Serious Man,0.0321187285414,0.00317695265257,None,f,2009,633,tt1019452,9029,10,528,Marvel Cinematic Universe,0.0105263157895
shtetl wife,A Serious Man,0.0143980507254,0.0,None,f,2009,633,tt1019452,9029,10,0,,1
sy ableman,A Serious Man,0.0409790674493,0.0,53,m,2009,633,tt1019452,9029,10,0,,1
uncle arthur,A Serious Man,0.0395392623768,0.0,53,m,2009,633,tt1019452,9029,10,0,,1
buckaroo banzai,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.280984996738,0.000361141206212,37,m,1984,640,tt0086856,6132,None,2,Firefly,0.00159151193634
general catburd,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0544683626875,0.0,54,m,1984,640,tt0086856,6132,None,0,,1
highway patrolm,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0205479452055,0.0,36,m,1984,640,tt0086856,6132,None,0,,1
john emdall,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0368558382257,0.0133333333333,46,f,1984,640,tt0086856,6132,None,1,The Adventures of Buckaroo Banzai Across The 8th Dimension (1984),0.0142589118199
lord john whorf,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0538160469667,0.0,39,m,1984,640,tt0086856,6132,None,0,,1
new jersey,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.0215264187867,0.00180423996392,32,m,1984,640,tt0086856,6132,None,20,Hawaii Five-0 (2010),0.0026525198939
penny priddy,The Adventures of Buckaroo Banzai Across the 8th Dimension,0.106490541422,0.00105596620908,30,f,1984,640,tt0086856,6132,None,1,Eureka (TV),0.00299850074963
